2026-04-24 15:21:19,073 | INFO | core.logger_config | [MAIN] robot start
2026-04-24 15:22:58,689 | INFO | core.logger_config | [MAIN] robot start
2026-04-24 15:22:58,690 | WARNING | core.logger_config | [CAMERA] cap is None
2026-04-24 15:22:58,690 | INFO | core.logger_config | [SIM] pan=90 tilt=90 cmd=stop speed=0
2026-04-24 15:22:58,690 | INFO | core.logger_config | [CONTROL] Camera frame is None -> stop
2026-04-24 15:22:58,721 | WARNING | core.logger_config | [CAMERA] cap is None
2026-04-24 15:22:58,721 | INFO | core.logger_config | [SIM] pan=90 tilt=90 cmd=stop speed=0
2026-04-24 15:22:58,721 | INFO | core.logger_config | [CONTROL] Camera frame is None -> stop
2026-04-24 15:22:58,751 | WARNING | core.logger_config | [CAMERA] cap is None
2026-04-24 15:22:58,752 | INFO | core.logger_config | [SIM] pan=90 tilt=90 cmd=stop speed=0
2026-04-24 15:22:58,752 | INFO | core.logger_config | [CONTROL] Camera frame is None -> stop
2026-04-24 15:22:58,782 | WARNING | core.logger_config | [CAMERA] cap is None
2026-04-24 15:22:58,783 | INFO | core.logger_config | [SIM] pan=90 tilt=90 cmd=stop speed=0
2026-04-24 15:22:58,783 | INFO | core.logger_config | [CONTROL] Camera frame is None -> stop
2026-04-24 15:22:58,813 | WARNING | core.logger_config | [CAMERA] cap is None
2026-04-24 15:22:58,814 | INFO | core.logger_config | [SIM] pan=90 tilt=90 cmd=stop speed=0
2026-04-24 15:22:58,814 | INFO | core.logger_config | [CONTROL] Camera frame is None -> stop
2026-04-24 15:22:58,844 | WARNING | core.logger_config | [CAMERA] cap is None
2026-04-24 15:22:58,845 | INFO | core.logger_config | [SIM] pan=90 tilt=90 cmd=stop speed=0
2026-04-24 15:22:58,845 | INFO | core.logger_config | [CONTROL] Camera frame is None -> stop
2026-04-24 15:22:58,875 | WARNING | core.logger_config | [CAMERA] cap is None
2026-04-24 15:22:58,876 | INFO | core.logger_config | [SIM] pan=90 tilt=90 cmd=stop speed=0
2026-04-24 15:22:58,876 | INFO | core.logger_config | [CONTROL] Camera frame is None -> stop
2026-04-24 15:22:58,906 | WARNING | core.logger_config | [CAMERA] cap is None
2026-04-24 15:22:58,906 | INFO | core.logger_config | [SIM] pan=90 tilt=90 cmd=stop speed=0
2026-04-24 15:22:58,907 | INFO | core.logger_config | [CONTROL] Camera frame is None -> stop
2026-04-24 15:22:58,937 | WARNING | core.logger_config | [CAMERA] cap is None
2026-04-24 15:22:58,937 | INFO | core.logger_config | [SIM] pan=90 tilt=90 cmd=stop speed=0
2026-04-24 15:22:58,938 | INFO | core.logger_config | [CONTROL] Camera frame is None -> stop
2026-04-24 15:22:58,968 | WARNING | core.logger_config | [CAMERA] cap is None
2026-04-24 15:22:58,968 | INFO | core.logger_config | [SIM] pan=90 tilt=90 cmd=stop speed=0
2026-04-24 15:22:58,968 | INFO | core.logger_config | [CONTROL] Camera frame is None -> stop
